进站站点编号,进站站点名称,POI ID
101,石埠,BV10532023
102,南职院,BV10532022
103,鹏飞路,BV10532014
104,西乡塘客运站,BV10532017
105,民族大学,BV10532026
106,清川,BV10532003
107,动物园,BV10532016
108,鲁班路,BV10532018
109,广西大学,BV10532009
110,白苍岭,BV10532005
111,火车站,BV10532008
112,朝阳广场,BV10532020
113,新民路,BV10532010
114,民族广场,BV10532002
115,麻村,BV10532012
116,南湖,BV10532019
117,金湖广场,BV10703063
118,会展中心,BV10703057
119,万象城,BV10703065
120,东盟商务区,BV10703062
121,凤岭,BV10703061
122,埌东客运站,BV10703059
123,百花岭,BV10703064
124,佛子岭,BV10703058
125,火车东站,BV10703060
201,玉洞,BV10730192
202,金象,BV10730190
203,石子塘,BV10730202
204,建设路,BV10730195
205,大沙田,BV10730194
206,江南客运站,BV10730204
207,石柱岭,BV10730193
208,亭洪路,BV10730196
209,福建园,BV10730197
210,南宁剧场,BV10730200
213,明秀路,BV10730205
214,秀厢,BV10730191
215,三十三中,BV10730201
216,苏卢,BV10730198
217,安吉客运站,BV10730199
218,西津,BV10730203
219,东风路,BV11457397
220,玉岭路,BV11457400
221,那福路,BV11457399
222,平良立交,BV10793339
223,坛泽,BV11457398
301,科园大道,BV10793338
302,创业路,BV10793334
304,北湖北路,BV10793329
305,秀峰路,BV10793346
306,邕武路,BV10793332
307,大鸡村,BV10793344
308,兴桂路,BV10793331
309,小鸡村,BV10793327
310,东沟岭,BV10793328
311,长堽路,BV10793330
312,东葛路,BV10793341
313,滨湖路,BV10793333
315,埌西,BV10793336
316,青竹立交,BV10793347
317,青秀山,BV10793335
318,市博物馆,BV10793342
319,总部基地,BV10793337
320,广西规划馆,BV10793340
321,庆歌路,BV10793345
322,五象湖,BV10793343
401,洪运路,BV10843429
402,那历村,BV10843420
403,那洪立交,BV10843427
404,金阳路,BV10843428
405,通源路,BV10843435
407,金象大道,BV10843433
408,五象岭,BV10843421
409,玉象路,BV10843424
411,飞龙路,BV10843434
412,体育中心西,BV10843430
413,体育中心东,BV10843425
414,良庆大桥南,BV10843431
415,良庆圩,BV10843423
416,楞塘村,BV10843436
